removal_fraction,remaining_giant_component_ratio,model_name,trial_id
0.0,1.0,FON,0
0.1,1.0,FON,0
0.2,0.75,FON,0
0.3,0.75,FON,0
0.4,0.25,FON,0
0.5,0.25,FON,0
0.6,0.25,FON,0
0.7,0.25,FON,0
0.8,0.25,FON,0
0.9,0.0,FON,0
1.0,0.0,FON,0
0.0,1.0,FON,1
0.1,1.0,FON,1
0.2,0.75,FON,1
0.3,0.75,FON,1
0.4,0.5,FON,1
0.5,0.5,FON,1
0.6,0.5,FON,1
0.7,0.25,FON,1
0.8,0.25,FON,1
0.9,0.0,FON,1
1.0,0.0,FON,1
0.0,1.0,FON,2
0.1,1.0,FON,2
0.2,0.25,FON,2
0.3,0.25,FON,2
0.4,0.25,FON,2
0.5,0.25,FON,2
0.6,0.25,FON,2
0.7,0.25,FON,2
0.8,0.25,FON,2
0.9,0.0,FON,2
1.0,0.0,FON,2
0.0,1.0,FON,3
0.1,1.0,FON,3
0.2,0.75,FON,3
0.3,0.75,FON,3
0.4,0.5,FON,3
0.5,0.5,FON,3
0.6,0.5,FON,3
0.7,0.25,FON,3
0.8,0.25,FON,3
0.9,0.0,FON,3
1.0,0.0,FON,3
0.0,1.0,FON,4
0.1,1.0,FON,4
0.2,0.75,FON,4
0.3,0.75,FON,4
0.4,0.5,FON,4
0.5,0.5,FON,4
0.6,0.5,FON,4
0.7,0.25,FON,4
0.8,0.25,FON,4
0.9,0.0,FON,4
1.0,0.0,FON,4
0.0,1.0,HON,0
0.1,1.0,HON,0
0.2,0.75,HON,0
0.3,0.75,HON,0
0.4,0.5,HON,0
0.5,0.5,HON,0
0.6,0.5,HON,0
0.7,0.25,HON,0
0.8,0.25,HON,0
0.9,0.0,HON,0
1.0,0.0,HON,0
0.0,1.0,HON,1
0.1,1.0,HON,1
0.2,0.75,HON,1
0.3,0.75,HON,1
0.4,0.5,HON,1
0.5,0.5,HON,1
0.6,0.5,HON,1
0.7,0.25,HON,1
0.8,0.25,HON,1
0.9,0.0,HON,1
1.0,0.0,HON,1
0.0,1.0,HON,2
0.1,1.0,HON,2
0.2,0.75,HON,2
0.3,0.75,HON,2
0.4,0.25,HON,2
0.5,0.25,HON,2
0.6,0.25,HON,2
0.7,0.25,HON,2
0.8,0.25,HON,2
0.9,0.0,HON,2
1.0,0.0,HON,2
0.0,1.0,HON,3
0.1,1.0,HON,3
0.2,0.75,HON,3
0.3,0.75,HON,3
0.4,0.5,HON,3
0.5,0.5,HON,3
0.6,0.5,HON,3
